file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000068,2026-09-11T15:04:09.507,horizontal,,,0,10,0.9310,YOLO-omega,
cap_000069,2026-09-11T15:04:09.634,horizontal,,,0,9,0.9293,YOLO-omega,
cap_000070,2026-09-11T15:04:09.730,horizontal,,,0,10,0.9315,YOLO-omega,
cap_000071,2026-09-11T15:04:09.867,horizontal,,,0,8,0.9342,YOLO-omega,
cap_000072,2026-09-11T15:04:09.998,horizontal,,,0,8,0.9336,YOLO-omega,
cap_000073,2026-09-11T15:04:10.099,horizontal,,,0,10,0.9374,YOLO-omega,
cap_000074,2026-09-11T15:04:10.219,horizontal,,,0,11,0.9402,YOLO-omega,
cap_000075,2026-09-11T15:04:10.313,horizontal,,,0,9,0.9387,YOLO-omega,
cap_000076,2026-09-11T15:04:10.436,horizontal,,,0,9,0.9406,YOLO-omega,
cap_000077,2026-09-11T15:04:10.532,horizontal,,,0,7,0.9391,YOLO-omega,
cap_000078,2026-09-11T15:04:10.665,horizontal,,,0,7,0.9360,YOLO-omega,
cap_000079,2026-09-11T15:04:10.772,horizontal,,,0,9,0.9411,YOLO-omega,
cap_000080,2026-09-11T15:04:10.889,horizontal,,,0,8,0.9370,YOLO-omega,
cap_000081,2026-09-11T15:04:11.020,horizontal,,,0,9,0.9364,YOLO-omega,
cap_000082,2026-09-11T15:04:11.115,horizontal,,,0,7,0.9377,YOLO-omega,
cap_000083,2026-09-11T15:04:11.248,horizontal,,,0,9,0.9411,YOLO-omega,
cap_000084,2026-09-11T15:04:11.337,horizontal,,,0,7,0.9378,YOLO-omega,
cap_000085,2026-09-11T15:04:11.464,horizontal,,,0,10,0.9296,YOLO-omega,
cap_000086,2026-09-11T15:04:11.559,horizontal,,,0,10,0.9434,YOLO-omega,
cap_000087,2026-09-11T15:04:11.685,horizontal,,,0,8,0.9342,YOLO-omega,
cap_000088,2026-09-11T15:04:11.780,horizontal,,,0,8,0.9322,YOLO-omega,
cap_000089,2026-09-11T15:04:11.907,horizontal,,,0,8,0.9280,YOLO-omega,
cap_000090,2026-09-11T15:04:12.043,horizontal,,,0,9,0.9441,YOLO-omega,
cap_000091,2026-09-11T15:04:12.137,horizontal,,,0,7,0.9436,YOLO-omega,
cap_000092,2026-09-11T15:04:12.266,horizontal,,,0,7,0.9411,YOLO-omega,
cap_000093,2026-09-11T15:04:12.363,horizontal,,,0,8,0.9310,YOLO-omega,
cap_000094,2026-09-11T15:04:12.488,horizontal,,,0,9,0.9579,YOLO-omega,
cap_000095,2026-09-11T15:04:12.595,horizontal,,,0,9,0.9445,YOLO-omega,
cap_000096,2026-09-11T15:04:12.709,horizontal,,,0,9,0.9452,YOLO-omega,
cap_000097,2026-09-11T15:04:12.837,horizontal,,,0,11,0.9483,YOLO-omega,
cap_000098,2026-09-11T15:04:12.930,horizontal,,,0,9,0.9536,YOLO-omega,
cap_000099,2026-09-11T15:04:13.058,horizontal,,,0,7,0.9517,YOLO-omega,
cap_000100,2026-09-11T15:04:13.166,horizontal,,,0,7,0.9582,YOLO-omega,
cap_000101,2026-09-11T15:04:13.281,horizontal,,,0,9,0.9499,YOLO-omega,
cap_000102,2026-09-11T15:04:13.381,horizontal,,,0,8,0.9555,YOLO-omega,
cap_000103,2026-09-11T15:04:13.508,horizontal,,,0,10,0.9542,YOLO-omega,
cap_000104,2026-09-11T15:04:13.606,horizontal,,,0,9,0.9551,YOLO-omega,
cap_000105,2026-09-11T15:04:13.731,horizontal,,,0,9,0.9560,YOLO-omega,
cap_000106,2026-09-11T15:04:13.861,horizontal,,,0,9,0.9615,YOLO-omega,
cap_000107,2026-09-11T15:04:13.954,horizontal,,,0,8,0.9457,YOLO-omega,
cap_000108,2026-09-11T15:04:14.087,horizontal,,,0,8,0.9494,YOLO-omega,
cap_000109,2026-09-11T15:04:14.179,horizontal,,,0,8,0.9455,YOLO-omega,
cap_000110,2026-09-11T15:04:14.312,horizontal,,,0,7,0.9460,YOLO-omega,
cap_000111,2026-09-11T15:04:14.409,horizontal,,,0,8,0.9463,YOLO-omega,
cap_000112,2026-09-11T15:04:14.536,horizontal,,,0,8,0.9441,YOLO-omega,
cap_000113,2026-09-11T15:04:14.667,horizontal,,,0,8,0.9460,YOLO-omega,
cap_000114,2026-09-11T15:04:14.762,horizontal,,,0,8,0.9454,YOLO-omega,
cap_000115,2026-09-11T15:04:14.892,horizontal,,,0,8,0.9444,YOLO-omega,
cap_000116,2026-09-11T15:04:14.987,horizontal,,,0,8,0.9461,YOLO-omega,
cap_000117,2026-09-11T15:04:15.118,horizontal,,,0,8,0.9420,YOLO-omega,
cap_000118,2026-09-11T15:04:15.210,horizontal,,,0,8,0.9398,YOLO-omega,
cap_000119,2026-09-11T15:04:15.340,horizontal,,,0,7,0.9418,YOLO-omega,
cap_000120,2026-09-11T15:04:15.441,horizontal,,,0,9,0.9445,YOLO-omega,
cap_000121,2026-09-11T15:04:15.566,horizontal,,,0,9,0.9445,YOLO-omega,
cap_000122,2026-09-11T15:04:15.704,horizontal,,,0,10,0.9417,YOLO-omega,
cap_000123,2026-09-11T15:04:15.791,horizontal,,,0,11,0.9394,YOLO-omega,
cap_000124,2026-09-11T15:04:15.919,horizontal,,,0,10,0.9450,YOLO-omega,
cap_000125,2026-09-11T15:04:16.018,horizontal,,,0,10,0.9485,YOLO-omega,
cap_000126,2026-09-11T15:04:16.139,horizontal,,,0,10,0.9484,YOLO-omega,
cap_000127,2026-09-11T15:04:16.238,horizontal,,,0,10,0.9498,YOLO-omega,
cap_000128,2026-09-11T15:04:16.359,horizontal,,,0,9,0.9576,YOLO-omega,
cap_000129,2026-09-11T15:04:16.490,horizontal,,,0,11,0.9549,YOLO-omega,
cap_000130,2026-09-11T15:04:16.666,horizontal,,,0,11,0.9420,YOLO-omega,
cap_000131,2026-09-11T15:04:16.751,horizontal,,,0,10,0.9411,YOLO-omega,
cap_000132,2026-09-11T15:04:16.833,horizontal,,,0,9,0.9359,YOLO-omega,
cap_000133,2026-09-11T15:04:16.941,horizontal,,,0,11,0.9383,YOLO-omega,
cap_000134,2026-09-11T15:04:17.041,horizontal,,,0,9,0.9367,YOLO-omega,
cap_000135,2026-09-11T15:04:17.167,horizontal,,,0,9,0.9351,YOLO-omega,
cap_000136,2026-09-11T15:04:17.262,horizontal,,,0,8,0.9404,YOLO-omega,
cap_000137,2026-09-11T15:04:17.390,horizontal,,,0,9,0.9436,YOLO-omega,
