timestamp,frame,mode,view,n_det,background,threshold,cx,cy,area_px,val_max,aspect,extent,peaks,std_c,skin_px,priority,note
2026-08-19T19:41:02.906,25,RAD,any,1,23.81,26.31,52.5,60.5,1320,32.82,0.00,0.00,9,1.41,0,0,run1 baseline
2026-08-19T19:41:03.034,26,RAD,any,1,23.79,26.29,52.7,60.9,1293,33.01,0.00,0.00,10,1.39,1,0,run1 baseline
2026-08-19T19:41:03.129,27,RAD,any,1,23.79,26.29,53.0,60.8,1294,32.78,0.00,0.00,10,1.40,0,0,run1 baseline
2026-08-19T19:41:03.257,28,RAD,any,1,23.81,26.31,53.2,60.6,1304,32.99,0.00,0.00,10,1.40,0,0,run1 baseline
2026-08-19T19:41:03.352,29,RAD,any,1,23.86,26.36,53.5,60.8,1276,32.97,0.00,0.00,8,1.37,0,0,run1 baseline
2026-08-19T19:41:03.482,30,RAD,any,1,23.86,26.36,58.4,50.6,1015,32.99,1.00,0.29,7,1.37,0,0,run1 baseline
2026-08-19T19:41:03.578,31,RAD,any,1,23.86,26.36,60.2,46.5,1015,32.97,1.03,0.29,7,1.36,0,0,run1 baseline
2026-08-19T19:41:03.705,32,RAD,any,1,23.86,26.36,60.7,45.6,1005,32.95,1.05,0.28,6,1.36,0,0,run1 baseline
2026-08-19T19:41:03.801,33,RAD,any,1,23.86,26.36,60.7,45.8,1006,32.91,1.07,0.29,8,1.37,0,0,run1 baseline
2026-08-19T19:41:03.927,34,RAD,any,1,23.86,26.36,60.4,46.3,1011,32.91,1.09,0.29,7,1.37,0,0,run1 baseline
2026-08-19T19:41:04.056,35,RAD,any,1,23.84,26.34,60.2,46.7,1016,32.88,1.09,0.29,8,1.38,0,0,run1 baseline
2026-08-19T19:41:04.151,36,RAD,any,1,23.84,26.34,60.3,46.3,1024,32.88,1.09,0.33,7,1.32,0,0,run1 baseline
2026-08-19T19:41:04.282,37,RAD,any,1,23.81,26.31,62.1,44.6,729,32.80,0.00,0.00,5,1.19,0,0,run1 baseline
2026-08-19T19:41:04.378,38,RAD,any,1,23.81,26.31,62.6,42.8,1014,32.84,0.86,0.49,4,1.33,0,0,run1 baseline
2026-08-19T19:41:04.502,39,RAD,any,1,23.79,26.29,64.5,41.0,918,32.84,0.73,0.55,4,1.24,0,0,run1 baseline
2026-08-19T19:41:04.597,40,RAD,any,1,23.79,26.29,65.7,38.6,827,32.80,0.65,0.56,3,1.28,0,0,run1 baseline
2026-08-19T19:41:04.727,41,RAD,any,1,23.79,26.29,66.4,37.3,850,32.88,0.70,0.55,4,1.28,0,0,run1 baseline
2026-08-19T19:41:04.854,42,RAD,any,1,23.79,26.29,67.0,36.8,888,33.06,0.78,0.56,4,1.28,1,0,run1 baseline
2026-08-19T19:41:04.952,43,RAD,any,1,23.77,26.27,68.0,36.2,917,32.91,0.90,0.57,6,1.23,0,0,run1 baseline
2026-08-19T19:41:05.077,44,RAD,any,1,23.74,26.24,69.6,35.2,947,32.78,1.05,0.59,7,1.18,0,0,run1 baseline
2026-08-19T19:41:05.174,45,RAD,any,1,23.72,26.22,72.6,34.2,1062,32.52,1.18,0.62,7,1.23,0,0,run1 baseline
2026-08-19T19:41:05.302,46,RAD,any,1,23.72,26.22,76.3,32.6,1095,32.24,1.28,0.66,9,1.20,0,0,run1 baseline
2026-08-19T19:41:05.398,47,RAD,any,1,23.70,26.20,80.5,30.8,1075,32.04,1.36,0.61,8,1.14,0,0,run1 baseline
2026-08-19T19:41:05.528,48,RAD,any,1,23.72,26.22,84.6,28.5,1041,32.04,1.43,0.59,9,1.10,0,0,run1 baseline
2026-08-19T19:41:05.625,49,RAD,any,1,23.70,26.20,87.9,25.8,974,32.07,1.31,0.58,12,1.05,0,0,run1 baseline
