frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,117.1,49.0,genuine,,,,,,,0,9,1
1,birth,2,36.4,49.5,genuine,,,,,,,0,9,2
1,birth,3,76.9,22.1,genuine,,,,,,,0,9,3
1,birth,4,93.7,23.6,genuine,,,,,,,0,9,4
1,birth,5,126.6,34.5,genuine,,,,,,,0,9,5
1,birth,6,93.4,75.5,genuine,,,,,,,0,9,6
1,birth,7,85.5,20.6,genuine,,,,,,,0,9,7
1,birth,8,52.2,24.6,genuine,,,,,,,0,9,8
1,birth,9,59.2,36.5,genuine,,,,,,,0,9,9
10,death,8,52.2,24.6,age10_hits1,,,,,,,,6,9
11,birth,10,147.5,109.0,gate_miss,1,69.1,0,8,127.2,1,0,7,9
12,death,6,84.2,24.0,age12_hits2,,,,,,,,6,9
15,recover,6,36.3,49.7,hidden3f,7,,,,,3,,8,0
15,birth,1,94.4,23.6,genuine,,,,,,,0,8,2
15,birth,2,98.2,62.4,genuine,,,,,,,0,8,3
15,birth,3,85.5,20.5,genuine,,,,,,,0,8,4
15,birth,4,126.0,34.0,genuine,,,,,,,0,8,5
15,birth,5,52.8,25.9,genuine,,,,,,,0,8,6
15,birth,6,77.6,19.4,genuine,,,,,,,0,8,7
15,birth,7,147.5,109.3,genuine,,,,,,,0,8,8
24,death,7,147.5,109.3,age10_hits1,,,,,,,,6,8
31,death,5,52.8,26.1,age17_hits7,,,,,,,,5,7
42,birth,7,155.1,102.7,returning_reid,2,71.1,0,7,10.1,18,0,7,7
51,death,7,155.1,102.7,age10_hits1,,,,,,,,5,7
55,recover,5,77.8,19.0,hidden24f,6,,,,,24,,7,6
69,death,6,50.1,24.8,age55_hits34,,,,,,,,5,7
79,recover,6,36.8,49.3,hidden10f,6,,,,,10,,7,0
79,birth,1,99.4,59.4,genuine,,,,,,,0,7,2
79,birth,2,126.3,35.2,genuine,,,,,,,0,7,3
79,birth,3,52.0,25.8,genuine,,,,,,,0,7,4
79,birth,4,92.5,23.5,genuine,,,,,,,0,7,5
79,birth,5,77.8,19.2,genuine,,,,,,,0,7,6
79,birth,6,85.6,20.1,genuine,,,,,,,0,7,7
92,exit,3,159.0,-0.5,exit,,,,,,,,5,7
92,death,3,159.0,-0.5,age14_hits5,,,,,,,,5,7
110,birth,7,65.1,84.8,contested,1,40.2,0,3,126.9,18,2,5,7
119,death,7,65.1,84.8,age10_hits1,,,,,,,,6,7
123,birth,8,92.5,23.7,duplicate_promoted,5,8.0,0,7,66.9,4,5,7,7
152,birth,9,147.5,109.4,gate_miss,1,69.8,0,7,86.1,33,0,5,8
156,death,4,50.4,22.5,age78_hits57,,,,,,,,6,8
161,death,9,147.5,109.4,age10_hits1,,,,,,,,6,7
162,birth,9,155.3,104.9,returning_reid,1,72.7,0,9,9.0,1,0,6,7
170,recover,4,95.6,23.0,hidden14f,6,,,,,14,,5,7
171,death,9,155.3,104.9,age10_hits1,,,,,,,,6,8
179,birth,9,147.4,109.5,returning_reid,1,69.1,0,9,9.1,8,0,7,8
181,exit,6,83.9,-18.1,exit,,,,,,,,6,8
181,death,6,83.9,-18.1,age103_hits91,,,,,,,,6,8
189,exit,4,88.4,23.6,exit,,,,,,,,4,7
189,death,4,88.4,23.6,age20_hits11,,,,,,,,4,7
191,exit,9,146.4,108.6,exit,,,,,,,,4,6
191,death,9,146.4,108.6,age13_hits4,,,,,,,,4,6
194,birth,10,65.1,85.6,contested,1,40.0,0,4,64.8,38,2,7,6
194,birth,4,77.9,19.2,duplicate_promoted_reid,5,17.4,0,4,11.4,5,5,7,7
201,exit,6,-2.8,38.2,exit,,,,,,,,5,7
201,death,6,-2.8,38.2,age123_hits100,,,,,,,,5,7
202,birth,11,77.9,19.2,duplicate_promoted,4,8.0,0,4,27.7,46,5,6,7
204,death,10,64.8,90.5,age11_hits2,,,,,,,,4,7
205,recover,10,64.4,84.9,hidden1f,1,,,,,1,,6,6
214,death,10,64.4,84.9,age10_hits1,,,,,,,,4,7
216,exit,4,-5.6,32.0,exit,,,,,,,,4,6
216,death,4,-5.6,32.0,age23_hits7,,,,,,,,4,6
222,birth,9,154.4,105.8,returning_reid,1,72.8,0,9,8.4,31,0,4,6
224,exit,5,64.7,11.1,exit,,,,,,,,3,6
224,death,5,64.7,11.1,age146_hits118,,,,,,,,3,6
229,birth,5,85.5,20.2,duplicate_promoted_reid,11,7.7,0,5,22.7,5,4,5,6
234,exit,9,153.9,103.1,exit,,,,,,,,5,6
234,death,9,153.9,103.1,age13_hits2,,,,,,,,5,6
