frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,74.7,113.8,genuine,,,,,,,0,1,1
238,birth,2,90.5,57.5,duplicate_promoted,1,9.8,0,,,,1,2,2
250,death,2,94.1,45.6,age13_hits4,,,,,,,,1,2
292,recover,2,96.0,73.8,hidden42f,1,,,,,42,,2,1
305,exit,2,109.6,81.9,exit,,,,,,,,1,2
305,death,2,109.6,81.9,age14_hits5,,,,,,,,1,2
608,exit,1,72.2,114.1,exit,,,,,,,,0,1
608,death,1,72.2,114.1,age608_hits487,,,,,,,,0,1
620,birth,1,75.1,106.9,returning_reid,,,,1,7.8,12,0,1,1
756,exit,1,64.8,131.9,exit,,,,,,,,0,1
756,death,1,64.8,131.9,age137_hits128,,,,,,,,0,1
840,birth,3,71.6,112.5,genuine,,,,,,,0,1,1
887,birth,4,145.9,47.8,gate_miss,3,81.9,0,,,,0,2,2
896,death,4,145.9,47.8,age10_hits1,,,,,,,,0,2
904,exit,3,70.3,120.3,exit,,,,,,,,0,1
904,death,3,70.3,120.3,age65_hits43,,,,,,,,0,1
1015,birth,5,94.3,111.4,genuine,,,,,,,0,1,1
1090,birth,6,146.3,48.0,genuine,5,98.3,0,,,,0,2,2
1099,death,6,146.3,48.0,age10_hits1,,,,,,,,0,2
1102,birth,6,146.0,48.0,returning_reid,5,97.2,0,6,0.3,3,0,2,2
1111,death,6,146.0,48.0,age10_hits1,,,,,,,,0,2
