frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,115.2,109.7,genuine,,,,,,,0,2,1
1,birth,2,34.1,96.1,genuine,,,,,,,0,2,2
69,exit,2,68.4,135.5,exit,,,,,,,,1,2
69,death,2,68.4,135.5,age69_hits47,,,,,,,,1,2
73,birth,3,55.8,112.3,returning,1,60.0,0,2,26.4,4,1,2,2
200,exit,3,50.2,106.9,exit,,,,,,,,1,2
200,death,3,50.2,106.9,age128_hits97,,,,,,,,1,2
225,exit,1,56.1,107.0,exit,,,,,,,,0,1
225,death,1,56.1,107.0,age225_hits203,,,,,,,,0,1
227,birth,3,33.3,106.0,returning_reid,,,,3,16.9,27,0,1,1
259,birth,4,92.1,60.0,returning,3,89.0,0,1,59.2,34,0,2,2
330,birth,5,119.5,87.9,duplicate_promoted,4,17.8,0,,,,2,2,3
344,exit,5,207.4,73.3,exit,,,,,,,,2,3
344,death,5,207.4,73.3,age15_hits5,,,,,,,,2,3
397,death,3,70.7,66.1,age171_hits130,,,,,,,,1,2
420,recover,3,72.1,63.8,hidden23f,4,,,,,23,,2,1
821,exit,3,93.6,97.2,exit,,,,,,,,1,2
821,death,3,93.6,97.2,age402_hits363,,,,,,,,1,2
830,birth,3,95.8,108.1,returning_reid,4,58.2,0,3,11.1,9,1,2,2
882,exit,3,171.2,81.9,exit,,,,,,,,1,2
882,death,3,171.2,81.9,age53_hits23,,,,,,,,1,2
934,birth,6,148.8,90.9,genuine,4,101.6,0,,,,0,2,2
972,exit,4,73.8,133.9,exit,,,,,,,,1,2
972,death,4,73.8,133.9,age714_hits643,,,,,,,,1,2
975,birth,7,40.2,100.2,returning,6,72.0,0,4,47.6,3,0,2,2
1146,exit,7,91.7,101.2,exit,,,,,,,,1,2
1146,death,7,91.7,101.2,age172_hits128,,,,,,,,1,2
1149,birth,7,100.6,105.7,returning_reid,6,37.3,0,7,10.0,3,1,2,2
1186,birth,8,108.8,97.8,gate_miss,6,45.2,0,,,,1,3,3
1195,exit,7,44.5,121.0,exit,,,,,,,,2,3
1195,death,7,44.5,121.0,age47_hits25,,,,,,,,2,3
1219,exit,8,61.3,95.5,exit,,,,,,,,1,2
1219,death,8,61.3,95.5,age34_hits22,,,,,,,,1,2
1237,birth,8,74.4,96.9,returning_reid,6,36.3,1,8,13.2,18,1,1,2
1246,death,8,74.4,96.9,age10_hits1,,,,,,,,1,2
1254,birth,9,103.7,103.5,returning,6,30.6,0,8,30.0,8,1,2,2
1305,death,9,74.6,102.2,age52_hits25,,,,,,,,1,2
1306,recover,9,73.5,95.4,hidden1f,6,,,,,1,,2,1
1663,exit,9,54.1,45.2,exit,,,,,,,,0,2
1663,death,9,54.1,45.2,age358_hits308,,,,,,,,0,2
1685,birth,9,52.1,45.8,duplicate_promoted_reid,6,10.1,0,9,2.0,22,1,2,2
2116,death,9,27.2,69.3,age432_hits420,,,,,,,,1,2
2120,recover,9,31.1,82.8,hidden4f,6,,,,,4,,2,1
2293,birth,10,70.3,42.4,duplicate_promoted,6,10.1,0,,,,2,3,3
2306,birth,11,121.5,25.0,contested,10,41.9,2,,,,2,3,4
2324,exit,10,89.5,44.9,exit,,,,,,,,3,4
2324,death,10,89.5,44.9,age32_hits19,,,,,,,,3,4
2352,death,9,40.3,76.1,age233_hits208,,,,,,,,1,3
2359,recover,9,39.4,68.1,hidden7f,6,,,,,7,,2,2
2364,birth,12,14.1,70.6,duplicate_promoted,6,12.5,0,9,26.8,12,2,4,4
2385,exit,12,82.1,81.6,exit,,,,,,,,2,4
2385,death,12,82.1,81.6,age22_hits6,,,,,,,,2,4
2399,birth,12,66.8,87.5,returning_reid,9,34.1,0,12,16.5,14,2,3,4
2407,exit,6,173.5,58.4,exit,,,,,,,,3,4
2407,death,6,173.5,58.4,age1474_hits1371,,,,,,,,3,4
2410,birth,13,67.0,96.2,contested,12,32.4,0,6,113.0,3,2,3,4
2412,exit,11,101.2,19.6,exit,,,,,,,,2,4
2412,death,11,101.2,19.6,age107_hits83,,,,,,,,2,4
2432,exit,13,83.7,87.9,exit,,,,,,,,2,3
2432,death,13,83.7,87.9,age23_hits5,,,,,,,,2,3
2456,birth,14,107.9,69.5,returning,12,31.4,0,13,30.4,24,1,3,3
2466,death,14,26.8,35.7,age11_hits2,,,,,,,,1,3
2486,birth,15,102.7,19.0,gate_miss,12,57.4,0,14,77.7,20,1,3,3
2491,birth,16,110.7,64.7,duplicate_promoted,12,20.6,0,14,88.7,25,2,4,4
2505,birth,17,105.6,65.4,duplicate_promoted,12,29.3,0,14,84.2,39,2,4,5
2506,exit,16,57.6,129.4,exit,,,,,,,,3,5
2506,death,16,57.6,129.4,age16_hits7,,,,,,,,3,5
2517,birth,18,106.7,21.0,duplicate_promoted,15,5.3,0,16,119.0,11,2,5,5
2529,exit,12,82.3,111.1,exit,,,,,,,,4,5
2529,death,12,82.3,111.1,age131_hits87,,,,,,,,4,5
2548,exit,15,121.6,25.0,exit,,,,,,,,2,4
2548,death,15,121.6,25.0,age63_hits40,,,,,,,,2,4
2548,exit,18,114.0,24.4,exit,,,,,,,,2,4
2548,death,18,114.0,24.4,age32_hits23,,,,,,,,2,4
2753,exit,17,161.5,49.2,exit,,,,,,,,1,2
2753,death,17,161.5,49.2,age249_hits228,,,,,,,,1,2
2795,birth,17,157.4,59.0,returning_reid,9,115.5,0,17,10.6,42,0,2,2
2895,exit,9,2.9,107.4,exit,,,,,,,,1,2
2895,death,9,2.9,107.4,age537_hits498,,,,,,,,1,2
2907,birth,9,6.9,103.2,returning_reid,17,91.8,0,9,5.7,12,0,2,2
2916,death,9,6.9,103.2,age10_hits1,,,,,,,,0,2
2923,birth,9,10.0,100.0,returning_reid,17,91.2,0,9,4.5,7,0,2,2
3093,birth,19,153.9,57.4,gate_miss,17,72.1,0,,,,0,3,3
3124,birth,20,102.4,21.5,duplicate_promoted,19,17.4,0,,,,1,3,4
3144,exit,19,128.0,29.1,exit,,,,,,,,2,4
3144,death,19,128.0,29.1,age52_hits43,,,,,,,,2,4
3149,exit,9,62.9,131.9,exit,,,,,,,,1,3
3149,death,9,62.9,131.9,age227_hits206,,,,,,,,1,3
3189,exit,20,161.0,88.2,exit,,,,,,,,1,2
3189,death,20,161.0,88.2,age66_hits56,,,,,,,,1,2
3205,exit,17,-48.3,105.9,exit,,,,,,,,0,1
3205,death,17,-48.3,105.9,age411_hits351,,,,,,,,0,1
3207,birth,21,4.2,92.1,returning,,,,17,54.3,2,0,1,1
3245,birth,22,79.6,115.2,gate_miss,21,49.6,0,17,128.2,40,1,2,2
3254,death,22,79.6,115.2,age10_hits1,,,,,,,,1,2
3293,exit,21,57.9,110.4,exit,,,,,,,,0,1
3293,death,21,57.9,110.4,age87_hits61,,,,,,,,0,1
3295,birth,21,43.5,110.2,returning_reid,,,,21,14.4,2,0,1,1
3346,birth,23,107.7,116.0,gate_miss,21,53.5,0,,,,1,2,2
3355,death,23,107.7,116.0,age10_hits1,,,,,,,,1,2
3393,birth,23,112.1,114.7,returning_reid,21,56.7,0,23,4.6,38,1,2,2
3433,exit,21,64.4,113.9,exit,,,,,,,,1,2
3433,death,21,64.4,113.9,age139_hits101,,,,,,,,1,2
3541,birth,24,64.7,111.1,gate_miss,23,48.9,0,,,,1,2,2
3767,exit,24,83.9,120.9,exit,,,,,,,,1,2
3767,death,24,83.9,120.9,age227_hits186,,,,,,,,1,2
3796,birth,25,155.6,44.3,gate_miss,23,55.2,0,24,104.9,29,1,2,2
3810,birth,26,120.2,27.3,duplicate_promoted,25,16.5,0,24,100.3,43,2,3,3
3862,exit,26,170.7,86.2,exit,,,,,,,,2,3
3862,death,26,170.7,86.2,age53_hits44,,,,,,,,2,3
3869,birth,27,62.3,113.4,gate_miss,23,62.2,0,26,111.8,7,0,3,3
3893,exit,25,101.0,20.0,exit,,,,,,,,1,3
3893,death,25,101.0,20.0,age98_hits75,,,,,,,,1,3
3897,birth,25,103.3,19.7,returning_reid,27,77.7,0,25,2.4,4,0,3,3
3906,death,25,103.3,19.7,age10_hits1,,,,,,,,2,3
3938,exit,27,44.9,120.8,exit,,,,,,,,1,2
3938,death,27,44.9,120.8,age70_hits47,,,,,,,,1,2
3954,birth,27,53.6,113.5,returning_reid,23,57.7,0,27,11.4,16,1,2,2
3967,death,27,51.8,97.1,age14_hits4,,,,,,,,1,2
3969,recover,27,47.4,108.2,hidden2f,,,,,,2,,2,1
3987,exit,27,51.1,108.3,exit,,,,,,,,1,2
3987,death,27,51.1,108.3,age19_hits4,,,,,,,,1,2
3989,birth,27,52.9,110.0,returning_reid,23,81.6,0,27,2.4,2,0,2,2
4011,exit,27,-7.5,109.6,exit,,,,,,,,1,2
4011,death,27,-7.5,109.6,age23_hits7,,,,,,,,1,2
4022,birth,28,47.2,110.8,returning,23,87.8,0,27,54.7,11,0,2,2
4041,exit,28,39.6,110.8,exit,,,,,,,,1,2
4041,death,28,39.6,110.8,age20_hits4,,,,,,,,1,2
4042,birth,28,49.4,111.1,returning_reid,23,77.7,0,28,9.7,1,0,2,2
4116,birth,29,103.3,19.0,gate_miss,23,81.5,0,,,,0,2,3
4129,exit,28,102.1,119.4,exit,,,,,,,,2,3
4129,death,28,102.1,119.4,age88_hits68,,,,,,,,2,3
4130,birth,30,64.7,112.2,returning,23,61.2,0,28,38.1,1,0,2,3
4151,birth,31,158.0,46.9,gate_miss,29,58.8,0,28,91.6,22,1,4,4
4158,birth,28,112.0,109.3,duplicate_promoted_reid,23,24.9,0,28,14.1,29,1,5,5
4177,exit,28,109.6,109.1,exit,,,,,,,,3,5
4177,death,28,109.6,109.1,age20_hits11,,,,,,,,3,5
4184,exit,30,83.6,111.5,exit,,,,,,,,2,4
4184,death,30,83.6,111.5,age55_hits43,,,,,,,,2,4
4185,birth,32,55.0,109.1,returning,23,76.3,0,30,28.7,1,0,3,4
4188,exit,31,109.6,21.9,exit,,,,,,,,3,4
4188,death,31,109.6,21.9,age38_hits29,,,,,,,,3,4
4195,birth,31,111.3,21.2,duplicate_promoted_reid,29,6.4,0,31,1.9,7,1,3,4
4212,exit,29,97.4,20.6,exit,,,,,,,,3,4
4212,death,29,97.4,20.6,age97_hits75,,,,,,,,3,4
4237,exit,31,95.0,19.6,exit,,,,,,,,1,3
4237,death,31,95.0,19.6,age43_hits27,,,,,,,,1,3
4476,exit,32,50.0,98.3,exit,,,,,,,,1,2
4476,death,32,50.0,98.3,age292_hits202,,,,,,,,1,2
4478,birth,32,56.5,104.4,returning_reid,23,75.5,0,32,8.9,2,0,2,2
4708,exit,32,2.1,122.1,exit,,,,,,,,1,2
4708,death,32,2.1,122.1,age231_hits194,,,,,,,,1,2
4734,birth,32,3.7,109.4,returning_reid,23,101.8,0,32,12.8,26,0,2,2
4911,death,32,31.3,86.7,age178_hits112,,,,,,,,1,2
4925,recover,32,31.7,82.6,hidden14f,,,,,,14,,2,1
4994,exit,23,99.3,109.7,exit,,,,,,,,1,2
4994,death,23,99.3,109.7,age1602_hits1570,,,,,,,,1,2
4997,birth,23,99.4,114.9,returning_reid,32,52.3,1,23,5.3,3,1,1,2
5008,exit,32,44.0,130.7,exit,,,,,,,,1,2
5008,death,32,44.0,130.7,age84_hits63,,,,,,,,1,2
5010,birth,32,48.3,112.4,returning_reid,23,58.1,0,32,18.8,2,1,2,2
5328,death,32,28.0,90.0,age319_hits239,,,,,,,,1,2
5329,recover,32,40.1,91.1,hidden1f,,,,,,1,,2,1
5344,exit,32,42.3,86.7,exit,,,,,,,,1,2
5344,death,32,42.3,86.7,age16_hits5,,,,,,,,1,2
5345,birth,32,44.2,92.6,returning_reid,23,83.4,0,32,6.2,1,0,2,2
5567,exit,32,100.4,110.0,exit,,,,,,,,1,2
5567,death,32,100.4,110.0,age223_hits147,,,,,,,,1,2
5568,birth,32,103.6,110.2,returning_reid,23,45.8,0,32,3.3,1,1,2,2
5582,birth,33,8.4,59.0,genuine,32,109.0,0,,,,0,2,3
5583,exit,23,156.2,109.7,exit,,,,,,,,1,3
5583,death,23,156.2,109.7,age587_hits555,,,,,,,,1,3
5588,birth,23,155.2,105.5,returning_reid,32,33.7,0,23,4.3,5,1,3,3
5608,birth,34,62.0,74.1,contested,32,39.2,1,,,,2,2,4
