timestamp,frame,mode,view,n_det,background,threshold,cx,cy,area_px,val_max,aspect,extent,peaks,std_c,skin_px,priority,note
2026-08-21T14:45:50.349,20,RAD,any,1,23.05,25.55,88.0,109.9,581,30.69,0.79,0.68,12,1.26,0,0,run2 pfilter4
2026-08-21T14:45:50.447,21,RAD,any,1,23.08,25.58,88.1,109.9,581,30.67,0.79,0.68,12,1.25,0,0,run2 pfilter4
2026-08-21T14:45:50.572,22,RAD,any,1,23.08,25.58,88.1,109.9,581,30.63,0.79,0.68,10,1.26,0,0,run2 pfilter4
2026-08-21T14:45:50.667,23,RAD,any,1,23.17,25.67,88.1,109.9,581,30.80,0.79,0.68,10,1.26,0,0,run2 pfilter4
2026-08-21T14:45:50.795,24,RAD,any,1,23.20,25.70,88.1,109.9,580,30.80,0.79,0.68,11,1.26,0,0,run2 pfilter4
2026-08-21T14:45:50.891,25,RAD,any,1,23.22,25.72,88.2,109.8,587,30.80,0.79,0.68,12,1.25,0,0,run2 pfilter4
2026-08-21T14:45:51.022,26,RAD,any,1,23.24,25.74,88.2,109.7,590,30.93,0.79,0.69,11,1.26,0,0,run2 pfilter4
2026-08-21T14:45:51.119,27,RAD,any,1,23.27,25.77,88.3,109.7,590,30.95,0.79,0.69,10,1.27,0,0,run2 pfilter4
2026-08-21T14:45:51.247,28,RAD,any,1,23.27,25.77,88.3,109.8,587,31.11,0.79,0.68,9,1.26,0,0,run2 pfilter4
2026-08-21T14:45:51.372,29,RAD,any,1,23.36,25.86,88.4,109.7,600,31.09,0.79,0.70,9,1.26,0,0,run2 pfilter4
2026-08-21T14:45:51.461,30,RAD,any,0,23.36,25.86,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:51.591,31,RAD,any,0,23.36,25.86,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:51.687,32,RAD,any,0,23.39,25.89,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:51.815,33,RAD,any,0,23.39,25.89,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:51.910,34,RAD,any,0,23.39,25.89,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.037,35,RAD,any,0,23.41,25.91,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.164,36,RAD,any,0,23.46,25.96,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.262,37,RAD,any,0,23.51,26.01,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.390,38,RAD,any,0,23.53,26.03,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.491,39,RAD,any,0,23.58,26.08,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.616,40,RAD,any,0,23.58,26.08,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.719,41,RAD,any,0,23.62,26.12,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.842,42,RAD,any,0,23.62,26.12,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:52.941,43,RAD,any,0,23.65,26.15,,,,,,,,,,,run2 pfilter4
2026-08-21T14:45:53.068,44,RAD,any,1,23.67,26.17,90.9,106.4,107,30.71,0.00,0.00,6,1.15,0,0,run2 pfilter4
2026-08-21T14:45:53.197,45,RAD,any,1,23.70,26.20,91.0,106.2,157,31.15,0.00,0.00,8,1.13,0,0,run2 pfilter4
2026-08-21T14:45:53.289,46,RAD,any,1,23.79,26.29,87.1,105.8,256,31.50,0.84,0.32,8,1.17,0,0,run2 pfilter4
2026-08-21T14:45:53.420,47,RAD,any,1,23.81,26.31,86.2,105.6,346,31.44,0.94,0.38,9,1.24,0,0,run2 pfilter4
2026-08-21T14:45:53.516,48,RAD,any,1,23.84,26.34,86.7,104.9,389,31.33,1.00,0.40,9,1.25,0,0,run2 pfilter4
2026-08-21T14:45:53.646,49,RAD,any,1,23.88,26.38,87.7,104.5,541,31.52,1.06,0.53,12,1.32,0,0,run2 pfilter4
2026-08-21T14:45:53.741,50,RAD,any,1,23.91,26.41,87.8,104.7,716,31.48,1.20,0.66,17,1.34,0,0,run2 pfilter4
2026-08-21T14:45:53.871,51,RAD,any,1,23.95,26.45,87.6,103.5,695,31.28,1.31,0.63,18,1.37,0,0,run2 pfilter4
2026-08-21T14:45:54.000,52,RAD,any,1,23.98,26.48,87.5,101.3,691,31.61,1.33,0.58,14,1.34,0,0,run2 pfilter4
2026-08-21T14:45:54.093,53,RAD,any,1,23.98,26.48,87.3,100.7,743,31.81,1.37,0.60,15,1.31,0,0,run2 pfilter4
2026-08-21T14:45:54.229,54,RAD,any,1,23.98,26.48,87.5,99.7,830,31.28,1.38,0.59,16,1.27,0,0,run2 pfilter4
2026-08-21T14:45:54.322,55,RAD,any,1,24.00,26.50,88.1,98.3,779,31.13,1.28,0.59,15,1.23,0,0,run2 pfilter4
2026-08-21T14:45:54.451,56,RAD,any,1,24.02,26.52,89.3,96.8,721,31.28,1.31,0.54,11,1.23,0,0,run2 pfilter4
2026-08-21T14:45:54.545,57,RAD,any,1,24.04,26.54,91.1,96.4,732,31.15,1.42,0.54,15,1.20,0,0,run2 pfilter4
2026-08-21T14:45:54.674,58,RAD,any,1,24.07,26.57,93.1,96.6,767,31.20,1.52,0.53,18,1.18,0,0,run2 pfilter4
2026-08-21T14:45:54.769,59,RAD,any,1,24.07,26.57,96.7,95.8,721,31.52,1.40,0.57,13,1.11,0,0,run2 pfilter4
2026-08-21T14:45:54.899,60,RAD,any,1,24.09,26.59,101.3,95.7,755,31.20,1.48,0.53,13,1.16,0,0,run2 pfilter4
2026-08-21T14:45:55.020,61,RAD,any,1,24.09,26.59,111.1,90.1,982,31.28,0.00,0.00,12,1.26,0,0,run2 pfilter4
2026-08-21T14:45:55.121,62,RAD,any,1,24.09,26.59,115.6,87.7,967,31.35,0.00,0.00,17,1.33,0,0,run2 pfilter4
2026-08-21T14:45:55.249,63,RAD,any,1,24.07,26.57,117.3,86.6,942,31.35,0.00,0.00,19,1.30,0,0,run2 pfilter4
2026-08-21T14:45:55.344,64,RAD,any,1,24.07,26.57,118.2,85.6,896,31.41,0.00,0.00,16,1.24,0,0,run2 pfilter4
2026-08-21T14:45:55.472,65,RAD,any,1,24.07,26.57,118.6,84.6,947,31.50,1.78,0.32,13,1.29,0,0,run2 pfilter4
2026-08-21T14:45:55.565,66,RAD,any,1,24.09,26.59,118.5,84.4,980,31.74,1.87,0.34,13,1.28,0,0,run2 pfilter4
2026-08-21T14:45:55.694,67,RAD,any,1,24.09,26.59,118.3,83.9,930,31.70,2.03,0.34,13,1.26,0,0,run2 pfilter4
2026-08-21T14:45:55.789,68,RAD,any,1,24.09,26.59,118.0,83.5,900,31.83,2.14,0.34,13,1.26,0,0,run2 pfilter4
2026-08-21T14:45:55.918,69,RAD,any,1,24.09,26.59,118.0,82.3,878,31.76,2.17,0.33,13,1.25,0,0,run2 pfilter4
2026-08-21T14:45:56.051,70,RAD,any,1,24.09,26.59,117.8,81.4,838,31.26,2.24,0.32,13,1.25,0,0,run2 pfilter4
2026-08-21T14:45:56.143,71,RAD,any,1,24.11,26.61,117.9,80.2,804,31.52,2.42,0.35,12,1.27,0,0,run2 pfilter4
2026-08-21T14:45:56.272,72,RAD,any,1,24.11,26.61,118.0,79.0,799,31.52,2.33,0.38,12,1.29,0,0,run2 pfilter4
2026-08-21T14:45:56.366,73,RAD,any,1,24.14,26.64,117.7,79.5,817,31.50,2.69,0.36,12,1.28,0,0,run2 pfilter4
2026-08-21T14:45:56.497,74,RAD,any,2,24.11,26.61,117.3,80.8,759,31.70,0.00,0.00,12,1.27,0,0,run2 pfilter4
2026-08-21T14:45:56.497,74,RAD,any,2,24.11,26.61,20.5,13.2,98,27.45,1.17,0.58,7,0.11,0,0,run2 pfilter4
2026-08-21T14:45:56.594,75,RAD,any,1,24.14,26.64,117.3,81.5,825,31.30,2.69,0.36,13,1.26,0,0,run2 pfilter4
2026-08-21T14:45:56.719,76,RAD,any,1,24.16,26.66,116.7,84.0,829,31.37,0.00,0.00,15,1.24,0,0,run2 pfilter4
2026-08-21T14:45:56.848,77,RAD,any,1,24.16,26.66,116.0,86.4,850,31.41,0.00,0.00,12,1.24,0,0,run2 pfilter4
2026-08-21T14:45:56.947,78,RAD,any,1,24.18,26.68,114.6,91.5,762,31.44,1.41,0.64,10,1.31,0,0,run2 pfilter4
2026-08-21T14:45:57.074,79,RAD,any,1,24.21,26.71,113.7,93.3,766,31.52,1.62,0.56,11,1.34,0,0,run2 pfilter4
2026-08-21T14:45:57.168,80,RAD,any,2,24.21,26.71,112.5,93.0,691,31.44,1.64,0.54,14,1.19,0,0,run2 pfilter4
2026-08-21T14:45:57.168,80,RAD,any,2,24.21,26.71,20.7,12.8,109,27.56,1.08,0.60,6,0.12,0,0,run2 pfilter4
2026-08-21T14:45:57.301,81,RAD,any,2,24.21,26.71,110.3,92.8,640,31.41,1.21,0.63,10,1.10,0,0,run2 pfilter4
2026-08-21T14:45:57.301,81,RAD,any,2,24.21,26.71,20.6,12.9,111,27.56,1.08,0.61,6,0.12,0,0,run2 pfilter4
2026-08-21T14:45:57.391,82,RAD,any,1,24.23,26.73,106.8,93.0,706,31.50,1.54,0.59,11,1.16,0,0,run2 pfilter4
2026-08-21T14:45:57.520,83,RAD,any,1,24.23,26.73,103.0,93.7,751,31.33,1.50,0.56,14,1.17,0,0,run2 pfilter4
2026-08-21T14:45:57.622,84,RAD,any,2,24.21,26.71,99.6,94.5,806,31.28,1.45,0.58,13,1.30,0,0,run2 pfilter4
2026-08-21T14:45:57.622,84,RAD,any,2,24.21,26.71,20.2,13.2,107,27.54,1.00,0.63,5,0.13,0,0,run2 pfilter4
2026-08-21T14:45:57.744,85,RAD,any,1,24.18,26.68,97.7,95.1,724,31.26,1.19,0.60,15,1.24,0,0,run2 pfilter4
2026-08-21T14:45:57.875,86,RAD,any,1,24.16,26.66,96.5,96.1,678,31.41,1.13,0.62,16,1.20,0,0,run2 pfilter4
2026-08-21T14:45:57.968,87,RAD,any,1,24.14,26.64,95.5,96.9,645,31.44,1.13,0.59,10,1.16,0,0,run2 pfilter4
2026-08-21T14:45:58.098,88,RAD,any,1,24.14,26.64,94.9,98.1,702,31.50,1.45,0.50,15,1.24,0,0,run2 pfilter4
2026-08-21T14:45:58.196,89,RAD,any,2,24.16,26.66,94.4,99.9,727,31.61,1.43,0.56,17,1.26,0,0,run2 pfilter4
2026-08-21T14:45:58.196,89,RAD,any,2,24.16,26.66,19.3,13.7,70,27.45,1.25,0.22,5,0.12,0,0,run2 pfilter4
2026-08-21T14:45:58.322,90,RAD,any,1,24.23,26.73,93.7,102.4,775,31.46,1.32,0.61,15,1.31,0,0,run2 pfilter4
2026-08-21T14:45:58.419,91,RAD,any,1,24.23,26.73,93.0,104.0,763,31.41,1.22,0.61,14,1.33,0,0,run2 pfilter4
2026-08-21T14:45:58.546,92,RAD,any,1,24.21,26.71,92.0,106.0,723,31.48,0.00,0.00,9,1.18,0,0,run2 pfilter4
