frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,76.1,75.1,genuine,,,,,,,0,5,1
1,birth,2,90.5,15.9,genuine,,,,,,,0,5,2
1,birth,3,157.2,57.5,genuine,,,,,,,0,5,3
1,birth,4,121.1,48.6,genuine,,,,,,,0,5,4
1,birth,5,116.7,25.6,genuine,,,,,,,0,5,5
32,birth,6,143.1,29.2,duplicate_promoted,3,27.7,0,,,,3,7,6
34,birth,7,115.9,25.1,duplicate_promoted,3,7.9,0,,,,5,7,7
39,birth,8,7.1,109.8,gate_miss,1,77.1,0,,,,0,6,8
49,exit,3,209.2,32.2,exit,,,,,,,,7,8
49,death,3,209.2,32.2,age49_hits33,,,,,,,,7,8
58,birth,9,116.1,23.9,duplicate_promoted,4,8.5,0,3,93.5,9,5,7,8
69,exit,5,154.6,56.5,exit,,,,,,,,7,8
69,death,5,154.6,56.5,age69_hits48,,,,,,,,7,8
70,birth,5,157.9,57.4,returning_reid,6,32.6,1,5,3.4,1,4,6,8
86,exit,5,157.6,58.5,exit,,,,,,,,5,8
86,death,5,157.6,58.5,age17_hits4,,,,,,,,5,8
88,death,7,121.8,31.3,age55_hits45,,,,,,,,5,7
108,recover,7,142.6,31.7,hidden20f,9,,,,,20,,7,6
127,exit,7,111.3,32.0,exit,,,,,,,,5,7
127,death,7,111.3,32.0,age20_hits7,,,,,,,,5,7
128,exit,6,157.3,56.3,exit,,,,,,,,5,6
128,death,6,157.3,56.3,age97_hits45,,,,,,,,5,6
129,birth,5,157.9,58.0,returning_reid,4,40.2,0,5,0.6,43,2,6,6
131,birth,6,157.9,57.8,returning_reid,4,40.9,0,6,1.6,3,3,6,7
139,exit,5,24.0,-166.1,exit,,,,,,,,5,7
139,death,5,24.0,-166.1,age11_hits2,,,,,,,,5,7
153,exit,8,57.1,164.8,exit,,,,,,,,5,6
153,death,8,57.1,164.8,age115_hits100,,,,,,,,5,6
154,birth,10,91.9,14.6,duplicate_promoted,2,22.2,0,7,26.1,27,3,5,6
159,exit,6,158.4,54.9,exit,,,,,,,,4,6
159,death,6,158.4,54.9,age29_hits10,,,,,,,,4,6
162,birth,6,157.7,57.8,returning_reid,4,40.4,0,6,3.0,3,2,6,6
176,birth,11,157.9,57.7,contested,4,41.9,0,8,147.0,23,3,6,7
183,exit,6,95.1,-52.7,exit,,,,,,,,6,7
183,death,6,95.1,-52.7,age22_hits7,,,,,,,,6,7
208,exit,11,158.3,58.6,exit,,,,,,,,4,6
208,death,11,158.3,58.6,age33_hits12,,,,,,,,4,6
