frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,142.6,30.1,genuine,,,,,,,0,4,1
1,birth,2,118.8,26.1,genuine,,,,,,,0,4,2
1,birth,3,75.6,70.6,genuine,,,,,,,0,4,3
1,birth,4,122.9,37.9,genuine,,,,,,,0,4,4
25,birth,5,157.9,57.0,contested,1,31.1,0,,,,3,5,5
30,birth,6,76.9,18.5,contested,2,42.1,0,,,,3,6,6
30,birth,7,5.4,109.9,gate_miss,3,80.9,0,,,,0,6,7
36,exit,5,158.9,59.5,exit,,,,,,,,6,7
36,death,5,158.9,59.5,age12_hits2,,,,,,,,6,7
38,birth,8,76.5,18.1,duplicate_promoted,6,10.1,0,5,92.3,2,4,7,7
52,exit,7,9.4,114.3,exit,,,,,,,,5,7
52,death,7,9.4,114.3,age23_hits13,,,,,,,,5,7
64,exit,6,83.5,12.7,exit,,,,,,,,5,6
64,death,6,83.5,12.7,age35_hits19,,,,,,,,5,6
69,birth,5,158.2,57.5,returning_reid,1,31.5,1,5,2.1,33,3,5,6
77,death,1,126.5,42.3,age77_hits50,,,,,,,,4,6
100,exit,8,-24.4,63.9,exit,,,,,,,,4,5
100,death,8,-24.4,63.9,age63_hits52,,,,,,,,4,5
116,recover,1,142.1,29.3,hidden39f,4,,,,,39,,4,4
139,exit,5,158.0,56.9,exit,,,,,,,,3,5
139,death,5,158.0,56.9,age71_hits34,,,,,,,,3,5
151,birth,5,157.9,56.6,returning_reid,2,30.7,0,5,0.4,12,3,5,5
161,exit,5,157.7,57.0,exit,,,,,,,,4,5
161,death,5,157.7,57.0,age11_hits2,,,,,,,,4,5
167,birth,5,157.9,56.8,returning_reid,2,31.3,0,5,0.3,6,3,4,5
207,exit,5,157.3,57.0,exit,,,,,,,,4,5
207,death,5,157.3,57.0,age41_hits22,,,,,,,,4,5
249,birth,9,86.0,15.1,contested,2,34.3,0,5,82.8,42,4,4,5
263,exit,9,92.8,14.9,exit,,,,,,,,3,5
263,death,9,92.8,14.9,age15_hits4,,,,,,,,3,5
266,birth,10,158.0,56.9,contested,1,30.9,0,9,77.6,3,3,5,5
279,birth,11,2.5,69.2,gate_miss,3,73.1,0,9,105.3,16,0,5,6
281,exit,10,158.3,57.1,exit,,,,,,,,5,6
281,death,10,158.3,57.1,age16_hits4,,,,,,,,5,6
287,birth,10,158.2,57.2,returning_reid,1,31.4,0,10,0.2,6,3,6,6
307,birth,12,10.9,59.2,duplicate_promoted,11,13.1,0,9,93.1,44,2,7,7
321,exit,12,-1.0,88.6,exit,,,,,,,,6,7
321,death,12,-1.0,88.6,age15_hits5,,,,,,,,6,7
395,death,11,89.2,55.8,age117_hits108,,,,,,,,5,6
410,recover,11,157.6,57.2,hidden15f,3,,,,,15,,4,5
418,exit,10,10.7,-23.6,exit,,,,,,,,4,6
418,death,10,10.7,-23.6,age132_hits78,,,,,,,,4,6
425,birth,13,67.2,76.9,returning,4,42.6,0,11,30.5,30,1,5,6
436,exit,11,157.8,58.5,exit,,,,,,,,4,6
436,death,11,157.8,58.5,age27_hits12,,,,,,,,4,6
447,birth,11,157.8,57.3,returning_reid,1,31.7,0,11,1.2,11,2,3,6
448,exit,4,-11.5,143.2,exit,,,,,,,,3,6
448,death,4,-11.5,143.2,age448_hits416,,,,,,,,3,6
449,exit,3,203.7,140.8,exit,,,,,,,,3,5
449,death,3,203.7,140.8,age449_hits413,,,,,,,,3,5
468,birth,14,158.1,57.2,contested,1,31.1,0,3,95.2,19,3,5,5
491,exit,14,157.5,57.6,exit,,,,,,,,2,5
491,death,14,157.5,57.6,age24_hits6,,,,,,,,2,5
493,birth,14,157.3,57.0,returning_reid,1,30.9,0,14,0.6,2,3,4,5
510,exit,14,158.1,54.3,exit,,,,,,,,4,5
510,death,14,158.1,54.3,age18_hits3,,,,,,,,4,5
522,birth,14,157.6,57.0,returning_reid,1,31.1,0,14,2.7,12,3,5,5
541,birth,15,6.2,52.1,gate_miss,13,68.0,0,,,,0,4,6
551,death,11,121.8,37.0,age105_hits67,,,,,,,,4,6
558,exit,14,158.0,56.6,exit,,,,,,,,4,5
558,death,14,158.0,56.6,age37_hits13,,,,,,,,4,5
560,recover,11,157.7,57.1,hidden9f,2,,,,,9,,6,4
562,birth,11,120.9,36.5,duplicate_promoted_reid,2,10.9,0,11,1.0,11,3,4,6
587,death,1,142.9,29.8,age472_hits389,,,,,,,,4,6
589,exit,11,209.4,8.7,exit,,,,,,,,3,5
589,death,11,209.4,8.7,age28_hits10,,,,,,,,3,5
595,recover,1,157.5,58.3,hidden8f,2,,,,,8,,5,4
596,birth,1,142.4,30.2,duplicate_promoted_reid,11,23.1,0,1,0.6,9,2,5,6
601,exit,15,68.0,19.7,exit,,,,,,,,5,6
601,death,15,68.0,19.7,age61_hits52,,,,,,,,5,6
620,exit,1,158.9,57.6,exit,,,,,,,,3,5
620,death,1,158.9,57.6,age26_hits7,,,,,,,,3,5
634,birth,16,120.9,37.3,duplicate_promoted,2,12.1,0,1,43.1,14,3,4,5
635,exit,11,204.7,83.9,exit,,,,,,,,3,5
635,death,11,204.7,83.9,age76_hits31,,,,,,,,3,5
