frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
58,birth,1,143.6,113.1,genuine,,,,,,,0,1,1
141,death,1,83.1,80.6,age84_hits73,,,,,,,,0,1
180,birth,1,85.8,69.1,returning_reid,,,,1,11.8,39,0,1,1
235,death,1,169.8,94.0,age56_hits47,,,,,,,,0,1
274,birth,1,155.1,82.8,returning_reid,,,,1,18.4,39,0,1,1
400,death,1,79.0,51.1,age127_hits111,,,,,,,,0,1
423,recover,1,80.4,44.9,hidden23f,,,,,,23,,1,0
528,death,1,138.4,112.5,age106_hits94,,,,,,,,0,1
531,birth,1,138.0,112.3,returning_reid,,,,1,0.4,3,0,1,1
569,death,1,134.7,117.8,age39_hits26,,,,,,,,0,1
1285,birth,2,108.7,117.8,genuine,,,,,,,0,1,1
1298,death,2,103.9,116.2,age14_hits5,,,,,,,,0,1
1759,birth,3,155.5,75.4,genuine,,,,,,,0,1,1
1818,death,3,128.2,38.8,age60_hits50,,,,,,,,0,1
1826,recover,3,154.4,65.9,hidden8f,,,,,,8,,1,0
1846,birth,4,150.9,60.4,returning,3,41.0,0,3,31.3,28,1,2,2
1907,death,3,114.7,39.7,age82_hits65,,,,,,,,1,2
1913,recover,3,112.2,33.3,hidden6f,4,,,,,6,,2,1
2010,death,3,107.6,30.7,age98_hits77,,,,,,,,1,2
2019,recover,3,107.8,30.1,hidden9f,4,,,,,9,,2,1
2030,death,4,80.6,13.1,age185_hits153,,,,,,,,1,2
2041,recover,4,107.0,30.0,hidden11f,3,,,,,11,,2,1
2050,death,4,107.0,30.0,age10_hits1,,,,,,,,1,2
2063,birth,4,106.4,29.0,duplicate_promoted_reid,3,12.2,0,4,1.2,13,1,2,2
2091,death,4,108.4,30.6,age29_hits20,,,,,,,,1,2
2096,recover,4,106.2,29.5,hidden5f,3,,,,,5,,2,1
2189,death,3,117.0,35.3,age171_hits158,,,,,,,,1,2
2199,recover,3,115.5,36.8,hidden10f,4,,,,,10,,2,1
2211,birth,3,116.3,36.8,duplicate_promoted_reid,4,7.8,0,3,1.6,22,2,3,3
2225,death,3,172.8,81.9,age27_hits17,,,,,,,,2,3
2302,death,4,169.0,96.1,age207_hits196,,,,,,,,1,2
2423,birth,5,120.3,42.5,duplicate_promoted,3,7.8,0,,,,1,2,2
2458,death,5,162.0,97.2,age36_hits27,,,,,,,,1,2
2822,birth,6,150.3,68.7,gate_miss,3,46.7,0,,,,1,2,2
2947,death,3,101.1,29.7,age737_hits710,,,,,,,,1,2
2954,recover,3,104.0,31.5,hidden7f,6,,,,,7,,2,1
3100,death,3,106.2,32.7,age147_hits122,,,,,,,,1,2
3105,recover,3,105.7,32.1,hidden5f,6,,,,,5,,2,1
3254,death,3,106.6,32.0,age150_hits133,,,,,,,,1,2
3259,recover,3,105.6,32.7,hidden5f,6,,,,,5,,2,1
3330,birth,7,112.2,117.9,gate_miss,6,80.5,0,,,,0,3,3
3349,death,7,130.1,118.6,age20_hits8,,,,,,,,1,3
3350,death,3,106.5,32.7,age92_hits55,,,,,,,,1,2
3455,recover,3,105.7,33.2,hidden105f,6,,,,,105,,2,1
3464,death,3,105.7,33.2,age10_hits1,,,,,,,,1,2
3669,birth,8,105.3,31.9,duplicate_promoted,6,12.1,0,,,,1,2,2
3712,death,8,105.6,33.2,age44_hits33,,,,,,,,1,2
3727,recover,8,105.9,32.3,hidden15f,6,,,,,15,,2,1
3892,death,8,105.6,32.6,age166_hits129,,,,,,,,1,2
3903,recover,8,105.9,33.1,hidden11f,6,,,,,11,,2,1
3950,death,8,105.6,33.1,age48_hits27,,,,,,,,1,2
4101,recover,8,105.6,32.5,hidden151f,6,,,,,151,,2,1
4147,death,6,86.1,22.4,age1326_hits1304,,,,,,,,1,2
4167,recover,6,105.6,32.5,hidden20f,8,,,,,20,,2,1
4187,death,6,105.3,32.6,age21_hits4,,,,,,,,1,2
4197,recover,6,105.5,32.9,hidden10f,8,,,,,10,,2,1
4214,birth,9,104.4,118.2,gate_miss,8,81.6,0,6,85.6,27,0,2,3
4221,death,6,105.5,32.6,age25_hits11,,,,,,,,1,3
4234,death,9,106.6,119.9,age21_hits5,,,,,,,,1,2
4306,recover,6,105.7,32.1,hidden85f,8,,,,,85,,2,1
