frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,78.2,115.0,genuine,,,,,,,0,1,1
300,birth,2,88.4,80.3,gate_miss,1,44.3,2,,,,1,1,2
307,exit,1,10.5,46.8,exit,,,,,,,,1,2
307,death,1,10.5,46.8,age307_hits292,,,,,,,,1,2
309,birth,3,54.3,57.8,returning,2,39.6,0,1,45.1,2,1,2,2
319,death,3,52.1,57.4,age11_hits2,,,,,,,,1,2
338,recover,3,85.9,80.7,hidden19f,2,,,,,19,,2,1
347,exit,2,13.2,34.8,exit,,,,,,,,1,2
347,death,2,13.2,34.8,age48_hits39,,,,,,,,1,2
385,birth,4,61.3,62.8,duplicate_promoted,3,27.9,0,2,55.7,38,1,2,2
394,death,4,61.3,62.8,age10_hits1,,,,,,,,1,2
424,birth,5,146.2,47.6,gate_miss,3,74.1,0,4,86.2,30,0,2,2
433,death,5,146.2,47.6,age10_hits1,,,,,,,,1,2
513,birth,6,33.2,36.3,gate_miss,3,65.9,2,,,,0,1,2
522,birth,7,156.2,61.8,gate_miss,3,84.9,2,,,,0,1,3
522,death,6,33.2,36.3,age10_hits1,,,,,,,,1,3
537,exit,7,157.9,22.4,exit,,,,,,,,0,2
537,death,7,157.9,22.4,age16_hits4,,,,,,,,0,2
555,birth,7,147.5,26.8,returning_reid,3,77.4,2,7,11.3,18,0,1,2
564,death,7,147.5,26.8,age10_hits1,,,,,,,,0,2
569,birth,8,84.7,74.8,gate_miss,3,57.1,0,7,79.0,5,1,2,2
582,birth,9,18.3,87.5,genuine,3,102.3,0,7,142.8,18,0,2,3
591,death,9,18.3,87.5,age10_hits1,,,,,,,,0,3
594,exit,8,116.3,57.5,exit,,,,,,,,0,2
594,death,8,116.3,57.5,age26_hits4,,,,,,,,0,2
598,birth,10,65.1,50.3,returning,3,30.6,1,8,51.8,4,1,1,2
607,death,10,65.1,50.3,age10_hits1,,,,,,,,1,2
634,birth,11,32.3,34.8,returning,3,49.4,2,10,36.2,27,1,1,2
644,exit,3,125.9,7.5,exit,,,,,,,,0,2
644,death,3,125.9,7.5,age307_hits244,,,,,,,,0,2
665,birth,12,157.0,33.4,returning,11,86.2,2,3,40.4,21,0,1,2
705,birth,13,42.4,17.6,gate_miss,11,55.8,6,,,,1,1,3
708,exit,11,-13.3,62.0,exit,,,,,,,,0,3
708,death,11,-13.3,62.0,age75_hits29,,,,,,,,0,3
712,exit,12,104.8,12.2,exit,,,,,,,,0,2
712,death,12,104.8,12.2,age48_hits26,,,,,,,,0,2
731,birth,14,32.5,33.3,returning,13,33.0,0,11,54.0,23,1,2,2
748,birth,15,68.7,28.5,returning,13,30.9,0,12,39.6,36,1,2,3
751,exit,14,137.1,-52.0,exit,,,,,,,,0,3
751,death,14,137.1,-52.0,age21_hits5,,,,,,,,0,3
758,exit,15,70.5,2.1,exit,,,,,,,,0,2
758,death,15,70.5,2.1,age11_hits2,,,,,,,,0,2
770,exit,13,-5.5,54.4,exit,,,,,,,,0,1
770,death,13,-5.5,54.4,age66_hits22,,,,,,,,0,1
775,birth,13,16.4,46.4,returning_reid,,,,13,23.3,5,0,1,1
784,death,13,16.4,46.4,age10_hits1,,,,,,,,0,1
787,birth,15,68.6,13.3,returning_reid,,,,15,11.4,29,0,1,1
811,birth,13,6.1,65.1,returning_reid,15,105.4,0,13,21.4,27,0,2,2
824,exit,13,98.9,10.8,exit,,,,,,,,0,2
824,death,13,98.9,10.8,age14_hits2,,,,,,,,0,2
837,exit,15,-7.8,-56.1,exit,,,,,,,,0,1
837,death,15,-7.8,-56.1,age51_hits23,,,,,,,,0,1
840,birth,13,82.7,4.2,returning_reid,,,,13,17.4,16,0,1,1
848,birth,16,48.6,46.5,gate_miss,13,71.2,1,15,117.0,11,0,1,2
860,birth,17,71.3,65.8,contested,16,30.1,0,15,145.3,23,2,3,3
864,birth,18,8.1,19.5,contested,13,41.8,0,15,77.3,27,2,4,4
887,exit,13,141.1,5.9,exit,,,,,,,,1,4
887,death,13,141.1,5.9,age48_hits22,,,,,,,,1,4
891,birth,19,3.0,58.3,gate_miss,17,74.1,0,13,147.7,4,0,4,4
900,exit,18,96.0,30.9,exit,,,,,,,,1,4
900,death,18,96.0,30.9,age37_hits20,,,,,,,,1,4
903,birth,20,143.3,33.6,returning,17,78.9,0,13,27.8,16,0,4,4
905,birth,18,79.9,32.4,duplicate_promoted_reid,16,27.2,0,18,16.1,5,2,2,5
907,exit,19,3.4,72.7,exit,,,,,,,,0,5
907,death,19,3.4,72.7,age17_hits4,,,,,,,,0,5
915,death,20,144.0,29.8,age13_hits3,,,,,,,,3,4
923,recover,20,82.4,68.8,hidden8f,,,,,,8,,4,3
923,birth,21,62.4,87.5,gate_miss,17,59.3,0,19,60.8,16,1,4,5
928,exit,18,8.8,-51.4,exit,,,,,,,,3,5
928,death,18,8.8,-51.4,age24_hits7,,,,,,,,3,5
932,death,21,62.4,87.5,age10_hits1,,,,,,,,1,4
936,birth,22,57.1,6.8,contested,17,33.4,1,18,75.6,8,2,2,4
951,birth,20,138.8,27.8,returning_reid,16,64.1,0,20,5.5,36,0,4,5
955,exit,20,66.9,68.5,exit,,,,,,,,3,5
955,death,20,66.9,68.5,age33_hits19,,,,,,,,3,5
960,death,20,138.8,27.8,age10_hits1,,,,,,,,2,4
964,birth,23,80.2,31.6,returning,16,39.3,0,20,39.2,9,2,3,4
967,exit,22,-0.7,122.3,exit,,,,,,,,1,4
967,death,22,-0.7,122.3,age32_hits19,,,,,,,,1,4
973,birth,24,74.0,39.1,returning,23,39.7,0,20,30.2,18,2,4,4
985,exit,23,18.1,46.3,exit,,,,,,,,2,4
985,death,23,18.1,46.3,age22_hits7,,,,,,,,2,4
993,birth,23,22.7,40.4,returning_reid,16,33.7,0,23,7.5,8,2,4,4
997,birth,25,61.0,15.9,duplicate_promoted,24,21.7,0,20,52.9,42,3,4,5
997,exit,17,81.2,121.1,exit,,,,,,,,4,5
997,death,17,81.2,121.1,age138_hits82,,,,,,,,4,5
1007,death,23,24.6,41.0,age15_hits6,,,,,,,,0,4
1011,recover,23,30.5,38.7,hidden4f,16,,,,,4,,3,3
1022,birth,26,5.9,10.5,returning,25,31.9,0,23,35.8,15,3,4,5
1034,exit,16,133.4,27.8,exit,,,,,,,,0,5
1034,death,16,133.4,27.8,age187_hits126,,,,,,,,0,5
1039,exit,23,27.8,42.2,exit,,,,,,,,0,4
1039,death,23,27.8,42.2,age29_hits14,,,,,,,,0,4
1040,exit,25,42.6,36.2,exit,,,,,,,,0,3
1040,death,25,42.6,36.2,age44_hits27,,,,,,,,0,3
1045,death,24,67.0,15.8,age73_hits35,,,,,,,,1,2
1048,recover,24,75.8,18.2,hidden3f,26,,,,,3,,2,1
1057,death,24,75.8,18.2,age10_hits1,,,,,,,,1,2
1064,birth,24,98.4,23.6,returning_reid,26,44.3,0,24,23.2,7,1,2,2
1078,exit,24,76.0,-13.1,exit,,,,,,,,0,2
1078,death,24,76.0,-13.1,age15_hits3,,,,,,,,0,2
1081,exit,26,81.2,8.1,exit,,,,,,,,0,1
1081,death,26,81.2,8.1,age60_hits29,,,,,,,,0,1
1102,birth,27,52.7,7.4,returning,,,,26,28.5,21,0,1,1
1117,exit,27,55.1,7.6,exit,,,,,,,,0,1
1117,death,27,55.1,7.6,age16_hits7,,,,,,,,0,1
1135,birth,27,70.1,14.8,returning_reid,,,,27,16.6,18,0,1,1
1141,birth,28,53.4,1.4,gate_miss,27,34.9,0,,,,1,2,2
1145,birth,29,76.6,46.3,contested,28,41.1,0,,,,2,2,3
1150,birth,30,5.4,78.4,gate_miss,28,63.5,3,,,,0,2,4
1152,exit,27,196.2,50.2,exit,,,,,,,,1,4
1152,death,27,196.2,50.2,age18_hits4,,,,,,,,1,4
1153,birth,31,90.6,18.9,gate_miss,29,44.3,0,27,110.2,1,1,2,4
1156,exit,28,-0.7,10.9,exit,,,,,,,,1,4
1156,death,28,-0.7,10.9,age16_hits7,,,,,,,,1,4
1159,death,30,5.4,78.4,age10_hits1,,,,,,,,2,3
1162,birth,32,57.1,5.1,returning,31,33.9,0,28,58.0,6,2,2,3
1171,death,32,57.1,5.1,age10_hits1,,,,,,,,1,3
1180,birth,30,4.7,77.9,returning_reid,31,93.4,0,30,0.8,21,0,3,3
1189,death,30,4.7,77.9,age10_hits1,,,,,,,,2,3
1193,birth,30,3.4,76.7,returning_reid,31,93.4,0,30,1.8,4,0,2,3
1199,birth,33,73.0,47.1,returning,31,30.5,0,32,44.9,28,2,3,4
