frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
69,birth,1,130.7,114.7,genuine,,,,,,,0,1,1
178,death,1,150.7,115.8,age110_hits97,,,,,,,,0,1
249,birth,2,148.4,115.3,genuine,,,,,,,0,1,1
443,death,2,148.2,115.9,age195_hits160,,,,,,,,0,1
584,birth,3,143.3,115.3,genuine,,,,,,,0,1,1
606,death,3,141.5,125.7,age23_hits11,,,,,,,,0,1
642,birth,3,148.1,114.7,returning_reid,,,,3,12.8,36,0,1,1
718,birth,4,153.5,70.8,gate_miss,3,71.4,0,,,,0,2,2
728,birth,5,131.3,55.8,duplicate_promoted,4,8.5,0,,,,1,3,3
778,death,5,94.9,31.0,age51_hits33,,,,,,,,2,3
880,birth,6,31.5,31.2,duplicate_promoted,4,5.8,0,,,,1,3,3
920,death,4,39.5,30.0,age203_hits185,,,,,,,,2,3
966,birth,7,86.9,31.1,duplicate_promoted,6,5.8,0,4,47.5,46,1,3,3
1038,death,7,165.6,82.0,age73_hits63,,,,,,,,1,3
1046,death,6,163.2,102.3,age167_hits154,,,,,,,,1,2
1563,death,3,124.4,119.2,age922_hits885,,,,,,,,0,1
1650,birth,8,154.3,60.5,genuine,,,,,,,0,1,1
1739,death,8,28.0,29.5,age90_hits81,,,,,,,,0,1
1741,birth,8,33.1,30.6,returning_reid,,,,8,5.2,2,0,1,1
1840,death,8,170.4,80.7,age100_hits89,,,,,,,,0,1
2289,birth,9,155.5,70.1,genuine,,,,,,,0,1,1
3309,death,9,102.0,28.6,age1021_hits992,,,,,,,,0,1
3346,birth,9,101.7,27.7,returning_reid,,,,9,0.9,37,0,1,1
3357,death,9,102.1,28.2,age12_hits3,,,,,,,,0,1
3425,birth,10,101.9,27.8,genuine,,,,,,,0,1,1
3436,death,10,101.8,28.1,age12_hits3,,,,,,,,0,1
3471,birth,10,101.5,27.4,returning_reid,,,,10,0.7,35,0,1,1
3495,death,10,100.8,28.2,age25_hits3,,,,,,,,0,1
3511,birth,10,100.9,28.0,returning_reid,,,,10,0.2,16,0,1,1
3546,birth,11,52.6,29.5,gate_miss,10,48.2,1,,,,1,1,2
3555,death,11,52.6,29.5,age10_hits1,,,,,,,,1,2
3642,birth,12,127.9,118.0,genuine,10,94.0,7,,,,0,1,2
3737,death,12,144.3,124.2,age96_hits85,,,,,,,,1,2
3753,birth,12,139.3,118.3,returning_reid,10,91.4,0,12,7.8,16,0,2,2
3847,death,12,-35.8,99.5,age95_hits86,,,,,,,,1,2
3903,birth,13,155.8,102.8,gate_miss,10,77.5,0,,,,0,2,2
4124,death,13,142.5,118.4,age222_hits202,,,,,,,,1,2
