frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,116.4,37.8,genuine,,,,,,,0,1,1
67,birth,2,139.2,114.7,gate_miss,1,80.1,0,,,,0,2,2
125,exit,2,164.3,131.7,exit,,,,,,,,1,2
125,death,2,164.3,131.7,age59_hits47,,,,,,,,1,2
165,birth,3,136.1,115.2,returning,1,79.8,0,2,32.7,40,0,2,2
231,birth,4,79.6,57.6,duplicate_promoted,3,8.6,0,,,,2,3,3
245,exit,4,87.0,59.8,exit,,,,,,,,2,3
245,death,4,87.0,59.8,age15_hits6,,,,,,,,2,3
286,death,3,87.6,83.1,age122_hits112,,,,,,,,1,2
317,birth,3,89.2,70.8,returning_reid,1,42.7,0,3,12.4,31,1,2,2
457,exit,1,124.9,37.9,exit,,,,,,,,1,2
457,death,1,124.9,37.9,age457_hits440,,,,,,,,1,2
652,birth,5,116.6,37.9,duplicate_promoted,3,4.2,0,,,,1,2,2
667,exit,3,108.7,41.8,exit,,,,,,,,1,2
667,death,3,108.7,41.8,age351_hits335,,,,,,,,1,2
674,birth,3,119.8,50.3,duplicate_promoted_reid,5,12.9,0,3,14.1,7,1,2,2
726,exit,3,148.7,123.2,exit,,,,,,,,1,2
726,death,3,148.7,123.2,age53_hits42,,,,,,,,1,2
767,birth,3,141.4,116.7,returning_reid,5,82.7,0,3,9.7,41,0,2,2
822,exit,3,143.6,124.6,exit,,,,,,,,1,2
822,death,3,143.6,124.6,age56_hits43,,,,,,,,1,2
