file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000025,2026-08-19T19:45:07.707,any,23.13,25.63,1,1,0.67609628224537,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000026,2026-08-19T19:45:07.803,any,23.13,25.63,1,1,0.7086090832531659,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000027,2026-08-19T19:45:07.936,any,23.13,25.63,1,1,0.5787333259607418,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000028,2026-08-19T19:45:08.031,any,23.13,25.63,1,1,0.6713304348228886,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000029,2026-08-19T19:45:08.160,any,23.13,25.63,1,1,0.6548650678948145,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000030,2026-08-19T19:45:08.253,any,23.13,25.63,1,1,0.5925240629416,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000031,2026-08-19T19:45:08.380,any,23.15,25.65,1,1,0.5582245597145736,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000032,2026-08-19T19:45:08.512,any,23.15,25.65,1,1,0.6638439458808656,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000033,2026-08-19T19:45:08.606,any,23.15,25.65,1,1,0.6636260353267392,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000034,2026-08-19T19:45:08.732,any,23.15,25.65,1,1,0.7257754192968949,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000035,2026-08-19T19:45:08.827,any,23.10,25.60,1,1,0.6681110256479483,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000036,2026-08-19T19:45:08.954,any,23.10,25.60,1,1,0.3194490140271435,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000037,2026-08-19T19:45:09.051,any,23.10,25.60,1,1,0.12507030716627476,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000038,2026-08-19T19:45:09.183,any,23.10,25.60,1,1,0.1595454585142872,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
